,Unnamed: 0,c_arm_lateral_m,c_arm_vertical_m,c_arm_wigwag_deg,c_arm_horizontal_m,c_arm_tilt_deg,c_arm_orbital_deg,table_vertical_m,table_trend_deg,table_tilt_deg,table_longitudinal_m,table_transverse_m,quat_w,quat_x,quat_y,quat_z,Tx_m,Ty_m,Tz_m
0,0,-0.42,0.2,-4,0.15,113,77,0.23,-3,1,0.27,0.06,0.43492822564425787,0.5178123057809173,0.6712531123848074,0.3035244860526023,0.31754630054927124,0.1237032020964175,0.3640480873297176
1,1,-0.26,0.34,10,0.01,-4,28,0.31,-23,-19,0.07,-0.09,0.9091543057223282,0.09738658320467618,0.1572634774538376,0.3731253146831456,0.6522905737423653,0.07602694141274724,0.5569759225719002
2,2,0.17,0.25,7,0.1,128,-52,0.33,-6,12,0.51,-0.08,0.359035383418573,-0.2864319716205358,0.8735009770257646,-0.161388854082572,0.26719151753066583,-0.1446830430929713,-0.1718315790090158
3,3,0.37,0.23,4,0.12,118,-64,0.18,0,4,0.01,-0.05,0.4434538991926963,-0.4127561348781238,0.7508637359386345,-0.2630297748612172,0.3617432255905566,-0.041134224607173975,0.08300548273352742
4,4,0.29,0.05,3,0.12,128,92,0.26,26,6,0.32,0.1,0.44270300541406743,0.590181741423931,0.5052347791485537,0.4477023330583397,-0.0016742427660925152,0.13268103493136807,-0.10725482819229959
5,5,-0.02,0.36,0,0.15,164,-3,0.36,-22,-19,0.42,0.11,0.051826626314443354,0.19054749827986658,-0.9802818975087834,0.0072837573220407344,0.383779851786218,0.3559003185200409,-0.23417147168393493
6,6,-0.4,0.35,0,0.07,119,49,0.12,-9,3,0.64,-0.02,0.40352276823285793,0.394005376803361,0.8078307376628291,0.17128525288203333,0.6559686183188997,-0.06462549747828494,3.2635555390708726e-05
7,7,0.44,0.17,7,0.06,190,31,0.3,-16,11,0.6,0.0,0.2317067770350158,-0.3515145264471398,-0.9068111370981072,-0.02104919968849512,0.19974470153117196,-0.0853908607592262,-0.5828775488902032
8,8,0.02,0.19,4,0.14,44,22,0.04,-16,19,0.65,0.08,0.864980249284173,0.20671539564411626,0.45619178303765157,0.03109615154507722,0.5576909476438878,-0.08194096091719616,-0.379108519022198
9,9,0.48,0.35,0,0.04,57,57,0.33,-24,-11,0.19,-0.11,0.6304051158774222,0.2537595688192091,0.5978200805531492,0.42521361972035826,0.2603444560112134,-0.07561121788266689,-0.4879803731906512
10,10,0.03,0.26,6,0.01,134,96,0.04,-22,5,0.1,0.11,0.11458066749112752,0.7723437574258808,0.5987434269010851,0.17850125978632522,0.6724961343105783,-0.03113648008249381,0.1034007009467488
11,11,0.16,0.34,-5,0.01,266,84,0.33,-11,2,0.68,-0.04,0.5420027629601758,-0.4708958924032036,-0.46603873559492437,0.5170086656782554,0.33023336542666826,-0.12581320821647002,-0.7037364697086312
12,12,0.48,0.34,-1,0.02,91,50,0.22,6,6,0.24,0.1,0.686013963487487,0.31205277751334226,0.5992026960136274,0.2701185573713842,0.42951002630188406,-0.011189479262798452,-0.34054398605662717
13,13,-0.36,0.03,8,0.02,138,6,0.22,-15,3,0.24,-0.08,0.23119217140424236,0.10928772923578524,0.9643995817913135,0.06737817718383964,0.35966905007396754,-0.173978547794283,0.5914984137080912
14,14,-0.16,0.32,4,0.0,262,78,0.02,-26,9,0.42,0.05,0.6837794203452479,-0.3924734269826504,-0.43738285053238024,0.43255815272051035,0.8057525680442297,-0.17309146849138957,-0.18387378051645412
15,15,-0.26,0.2,-8,0.13,168,-70,0.33,9,7,0.05,0.07,0.09886205054147175,-0.5140547413689307,0.8353663283223617,-0.16774121540060877,0.11200675443340224,0.08339970301667798,0.37161671580736433
16,16,-0.35,0.46,-3,0.01,214,-24,0.0,-28,1,0.67,0.07,0.5083152728001694,0.16949062132786363,-0.839944714035607,-0.08591501663636343,0.9818315212101674,-0.01596305844082302,-0.536006549781718
17,17,0.5,0.14,-9,0.02,-7,64,0.27,-3,-1,0.6,0.03,0.8366052228573672,-0.08482153627425457,0.011173784859445063,0.541084239840494,0.16318478746216103,-0.039131044521396596,-1.0019715615701081
18,18,0.1,0.36,-9,0.04,193,29,0.3,-11,20,0.23,0.09,0.20047692971618972,-0.4056267847197219,-0.8867647858024423,0.09446759672109191,0.3256807949510889,-0.12235812125374523,-0.31167497664521016
19,19,0.08,0.09,0,0.07,171,-72,0.2,-7,7,0.4,-0.07,0.013466705846282163,-0.5372177750140035,0.8432629932106301,-0.01110109562619149,0.23364251636012945,-0.1160036989948745,-0.16894603875461456
20,20,-0.34,0.12,7,0.05,175,-9,0.02,-23,-10,0.13,-0.13,0.1566536553200684,0.14814510825181323,-0.9747634009947894,-0.057870296845541666,0.7261079513755397,-0.021452234748316812,0.4757817742843892
21,21,-0.41,0.04,-5,0.04,196,99,0.0,-1,18,0.55,-0.05,0.08420201118227703,-0.8454468689051832,-0.511413045310982,0.12878784980357885,0.3265005140519095,-0.23154133905968632,0.06782363327768182
22,22,0.43,0.15,-7,0.11,247,-74,0.08,-7,-8,0.11,-0.05,0.5325779745986962,0.4999378022494588,-0.6216393656957259,-0.2828204268997336,0.34128503694529777,0.03524389756335933,-0.4430208027168586
23,23,0.36,0.27,-4,0.07,247,-80,0.19,1,3,0.63,-0.02,0.4268336148704041,0.5064936346553138,-0.6680993125112985,-0.33899936857204244,0.3900037105339199,-0.05451655684328571,-0.7409554060735944
24,24,-0.48,0.01,-9,0.0,-43,-36,0.36,-13,15,0.53,0.0,0.8850004553482078,-0.021094621337575364,-0.26632501882573856,-0.3813137754285297,0.0725041428796378,-0.14298701089114152,0.03531102542113884
25,25,-0.23,0.4,-2,0.07,261,21,0.23,14,17,0.02,-0.01,0.551105260126539,-0.2836115562662351,-0.7841452779403928,0.031042881581583207,0.3033646681875226,-0.13954951437690322,0.628436364895204
26,26,-0.46,0.14,7,0.02,79,-2,0.3,-15,-12,0.4,0.03,0.6753163688188757,-0.03757715439122138,0.730857779467959,0.0915568985074881,0.4146119373755379,0.07157244507828087,0.4949209085777325
27,27,-0.19,0.4,6,0.11,-78,63,0.22,17,-9,0.0,-0.09,0.5614279613133655,-0.2940789747342606,-0.676490964743885,0.3750682277861615,0.23420458554884305,-0.010560606268837924,0.8476564287119682
28,28,-0.49,0.28,7,0.02,-80,-66,0.17,13,-17,0.27,-0.08,0.6112346202217934,0.5178785680572765,-0.5085276329200067,-0.3155846548012748,0.1726184005786408,-0.06601276612536999,0.8446575811380771
29,29,-0.37,0.0,10,0.1,179,-18,0.33,18,4,0.51,0.03,0.17784613209077846,-0.13252700433690381,0.9736388645057695,0.05324197541180364,-0.3470632380846769,0.047970440989744345,0.4612736568236032
30,30,0.33,0.37,0,0.12,98,-96,0.3,4,0,0.67,0.04,0.45634597620436657,-0.5435017189520246,0.4893711458272309,-0.5068235522645146,0.373947784742211,0.08499999642372136,-0.616687439353949
31,31,0.5,0.32,5,0.03,225,77,0.07,22,-20,0.21,0.05,0.1592216627830351,-0.4459769683880343,-0.8718426223795065,0.12507376851462074,0.48067984632736266,0.20726641788046685,0.018160348096970397
32,32,-0.46,0.43,-6,0.11,47,-77,0.1,-12,17,0.14,-0.11,0.5812578311087205,-0.28910087769052023,0.4009100314677108,-0.646398609962859,0.7373861191030073,-0.3386381556400142,0.3327390243344671
33,33,0.41,0.06,3,0.02,120,-60,0.21,24,-19,0.19,0.08,0.6352599342695968,-0.466294490811224,0.5783776308762069,-0.2109350133404003,0.11641815185714394,0.09414646874863553,-0.07071078147788801
34,34,0.09,0.04,5,0.08,56,85,0.05,11,-9,0.25,0.07,0.6118771730216096,0.26404198331285017,0.27887782562997665,0.6914588307015799,0.20360045357177703,0.11706058999384572,0.21580404615706097
35,35,0.17,0.0,0,0.01,-32,-16,0.34,-5,-3,0.15,-0.01,0.9661193862136152,0.03852959840369195,-0.23024380111669945,-0.11007539996026063,-0.006941756463112347,-0.07021222660242254,0.023023871138659224
36,36,-0.43,0.4,5,0.14,72,-19,0.1,-6,0,0.18,-0.06,0.7696793518993494,-0.06768837252304344,0.6261367018756924,-0.10471298892310121,0.7078099950237182,-0.0012406931946544741,0.6633903667110306
37,37,-0.01,0.15,-3,0.03,94,-38,0.2,2,-16,0.49,-0.03,0.6779500133813754,-0.34206821654351954,0.6327648167278593,-0.15159749766499256,0.2477568390543204,0.020722882165878254,-0.19771118585679393
38,38,-0.03,0.21,-7,0.07,-8,-72,0.28,6,1,0.6,0.02,0.7970106046807349,0.02094489404749783,-0.1344763343341051,-0.5884314088692499,0.21285093750929507,-0.0021659197669303687,-0.37710264954864914
39,39,0.15,0.35,5,0.11,186,-15,0.12,7,-12,0.31,0.13,0.009849724899416006,-0.23801571668314198,0.9702547307473961,0.04309592780662858,0.4688164593575757,0.2804241797346163,0.10540772520110558
40,40,0.11,0.24,-9,0.08,114,-100,0.35,-17,3,0.3,0.04,0.21136889028634914,-0.7138684672724996,0.5621627243411706,-0.3601223056330199,0.19824802534360464,0.009897225070589988,-0.3967495996501503
41,41,-0.36,0.38,7,0.03,8,-26,0.25,16,15,0.46,0.11,0.9370927552378093,0.06611296008173795,-0.06358243838248306,-0.3368137736485541,0.1348050147658848,-0.011309934725765025,0.548640012606233
