c_arm_lateral_m,c_arm_vertical_m,c_arm_wigwag_deg,c_arm_horizontal_m,c_arm_tilt_deg,c_arm_orbital_deg,table_vertical_m,table_trend_deg,table_tilt_deg,table_longitudinal_m,table_transverse_m,quat_w,quat_x,quat_y,quat_z,Tx_m,Ty_m,Tz_m
-0.42,0.2,-4,0.15,113,77,0.23,-3,1,0.27,0.06,0.434928225644258,0.517812305780917,0.671253112384807,0.303524486052602,0.317546302343713,0.123703197459349,0.364048111506426
-0.26,0.34,10,0.01,-4,28,0.31,-23,-19,0.07,-0.09,0.909154305722328,0.0973865832046762,0.157263477453838,0.373125314683145,0.652290576170786,0.0760269460580029,0.556975932150057
0.17,0.25,7,0.1,128,-52,0.33,-6,12,0.51,-0.08,0.359035383418573,-0.286431971620536,0.873500977025764,-0.161388854082572,0.267191530143628,-0.144683049074129,-0.171831588318704
0.37,0.23,4,0.12,118,-64,0.18,0,4,0.01,-0.05,0.443453899192696,-0.412756134878124,0.750863735938635,-0.263029774861217,0.361743228750175,-0.0411342214008488,0.0830054874654831
0.29,0.05,3,0.12,128,92,0.26,26,6,0.32,0.1,0.442703005414067,0.590181741423931,0.505234779148554,0.44770233305834,-0.00167424809989236,0.132681036695145,-0.107254847226055
-0.02,0.36,0,0.15,164,-3,0.36,-22,-19,0.42,0.11,0.0518266263144433,0.190547498279867,-0.980281897508783,0.00728375732204091,0.383779853885094,0.355900313534878,-0.234171484382473
-0.4,0.35,0,0.07,119,49,0.12,-9,3,0.64,-0.02,0.403522768232858,0.394005376803361,0.807830737662829,0.171285252882033,0.655968620605616,-0.0646254983435941,3.26148503621004e-05
0.44,0.17,7,0.06,190,31,0.3,-16,11,0.6,0,0.231706777035016,-0.35151452644714,-0.906811137098107,-0.0210491996884949,0.199744710745592,-0.0853908611943059,-0.58287752997604
0.02,0.19,4,0.14,44,22,0.04,-16,19,0.65,0.08,0.864980249284173,0.206715395644116,0.456191783037651,0.0310961515450772,0.557690948677318,-0.0819409601137505,-0.379108543744474
0.48,0.35,0,0.04,57,57,0.33,-24,-11,0.19,-0.11,0.630405115877423,0.253759568819209,0.597820080553149,0.425213619720358,0.260344468661341,-0.0756112151089738,-0.487980393134002
0.03,0.26,6,0.01,134,96,0.04,-22,5,0.1,0.11,0.114580667491128,0.772343757425881,0.598743426901085,0.178501259786325,0.672496142071288,-0.0311364799422794,0.1034006985992
0.16,0.34,-5,0.01,266,84,0.33,-11,2,0.68,-0.04,0.542002762960176,-0.470895892403204,-0.466038735594925,0.517008665678255,0.330233374104578,-0.125813209190776,-0.703736467905466
0.48,0.34,-1,0.02,91,50,0.22,6,6,0.24,0.1,0.686013963487487,0.312052777513342,0.599202696013627,0.270118557371384,0.42951002274847,-0.0111894799300064,-0.340544002597297
-0.36,0.03,8,0.02,138,6,0.22,-15,3,0.24,-0.08,0.231192171404242,0.109287729235785,0.964399581791313,0.0673781771838394,0.359669045912775,-0.173978548921051,0.591498394721073
-0.16,0.32,4,0,262,78,0.02,-26,9,0.42,0.05,0.683779420345248,-0.39247342698265,-0.43738285053238,0.432558152720511,0.805752575545349,-0.173091470424508,-0.183873793354645
-0.26,0.2,-8,0.13,168,-70,0.33,9,7,0.05,0.07,0.0988620505414718,-0.514054741368931,0.835366328322362,-0.167741215400609,0.112006763564591,0.0833997063549131,0.371616726901411
-0.35,0.46,-3,0.01,214,-24,0,-28,1,0.67,0.07,0.50831527280017,0.169490621327864,-0.839944714035607,-0.0859150166363635,0.981831516639648,-0.0159630584358228,-0.536006523922393
0.5,0.14,-9,0.02,-7,64,0.27,-3,-1,0.6,0.03,0.836605222857367,-0.0848215362742546,0.0111737848594449,0.541084239840494,0.163184797568158,-0.0391310432328447,-1.0019715383284
0.1,0.36,-9,0.04,193,29,0.3,-11,20,0.23,0.09,0.20047692971619,-0.405626784719722,-0.886764785802442,0.094467596721092,0.325680793295978,-0.122358123287877,-0.311674970692516
0.08,0.09,0,0.07,171,-72,0.2,-7,7,0.4,-0.07,0.0134667058462821,-0.537217775014004,0.843262993210631,-0.0111010956261917,0.23364251552032,-0.116003698893997,-0.168946034496321
-0.34,0.12,7,0.05,175,-9,0.02,-23,-10,0.13,-0.13,0.156653655320069,0.148145108251813,-0.974763400994789,-0.0578702968455416,0.726107952119111,-0.0214522401364893,0.475781765267102
-0.41,0.04,-5,0.04,196,99,0,-1,18,0.55,-0.05,0.0842020111822768,-0.845446868905183,-0.511413045310982,0.128787849803579,0.326500515235389,-0.231541337762661,0.0678236486808293
0.43,0.15,-7,0.11,247,-74,0.08,-7,-8,0.11,-0.05,0.532577974598696,0.499937802249459,-0.621639365695725,-0.282820426899733,0.34128503010139,0.0352438979439863,-0.443020795341443
0.36,0.27,-4,0.07,247,-80,0.19,1,3,0.63,-0.02,0.426833614870404,0.506493634655314,-0.668099312511299,-0.338999368572042,0.390003697175626,-0.054516556887947,-0.740955396747098
-0.48,0.01,-9,0,-43,-36,0.36,-13,15,0.53,0,0.885000455348208,-0.0210946213375754,-0.266325018825739,-0.38131377542853,0.0725041588847649,-0.142987015179702,0.0353110039965349
